	Stop number	Name without locality	Locality	Locality number	Code	Stop No	NaPTAN stop class	NaPTANId	Easting	Northing	lat	lon
13179	14545	Roebuck Road	Clonskeagh	E0822048	->NW	86	BCT	8250DB000869	718484	729224	53.30004439	-6.222450841
13180	14546	Roebuck Castle Estate	Clonskeagh	E0822048	->NW	870	BCT	8250DB000870	718240	729339	53.30113188	-6.226066692
13181	14547	Slip Road Stillorgan Dual Carriageway	Belfield	E0822097	->NW	768	BCT	8250DB000768	718702	730269	53.30938249	-6.218791324
13182	14548	Mount Merrion Avenue (Glenvar Park)	Blackrock (DunLaoghaire-Rathdown)	E0825014	->NE	466	BCT	8250DB000466	720508	729264	53.29994745	-6.192087147
13183	14549	Sydney Avenue	Blackrock (DunLaoghaire-Rathdown)	E0825014	->NE	468	BCT	8250DB000468	720956	729472	53.30171378	-6.185290518
13184	14551	Mount Merrion Ave (Stillorgan Road)	Stillorgan	E0825009	->NE	46	BCT	8250DB000462	719777	728913	53.29696024	-6.20318037
13185	14552	Belfield Slip Road	Belfield	E0822097	->SE	764	BCT	8250DB000764	718766	730321	53.30983524	-6.217812008
13186	14553	Campus	Belfield	E0822097	->NE1	766	BCT	8250DB000766	718741	729827	53.30540342	-6.218371751
13187	14553	Campus	Belfield	E0822097	->NE2	765	BCT	8250DB000765	718729	729824	53.30537917	-6.218552829
13188	14553	Campus	Belfield	E0822097	->NE3	767	BCT	8250DB000767	718761	729841	53.3055247	-6.218066586
13189	14554	Rock Road (Grotto Avenue)	Blackrock (DunLaoghaire-Rathdown)	E0825014	->NW1	473	BCT	8250DB000473	720129	730289	53.30924058	-6.197382139
13190	14555	Rock Road	Blackrock (DunLaoghaire-Rathdown)	E0825014	->NW	46	BCT	8250DB000469	721034	729600	53.30284573	-6.184072133
13191	14556	Blanchardstown Road (Clonsilla Road)	Blanchardstown	E0824024	->N	7227	BCT	8240DB007227	706235	738257	53.38378826	-6.403103664
13192	14556	Blanchardstown Road (Clonsilla Road)	Blanchardstown	E0824024	->S1	721	BCT	8240DB007219	706237	738217	53.38342852	-6.403087062
13193	14556	Blanchardstown Road (Clonsilla Road)	Blanchardstown	E0824024	->S2	7228	BCT	8240DB007228	706262	738312	53.38427692	-6.402679483
13194	14557	Carpenterstown Road	Carpenterstown	E0824025	->SE	7233	BCT	8240DB007233	707199	737111	53.37329871	-6.389008002
